version,size_test,size_training,error_NB,recall_NB,precision_NB,fscore_NB,gscore_NB,mcc_NB,auc_NB,aucec_NB,tpr_NB,tnr_NB,fpr_NB,fnr_NB,tp_NB,fn_NB,tn_NB,fp_NB,error_RF,recall_RF,precision_RF,fscore_RF,gscore_RF,mcc_RF,auc_RF,aucec_RF,tpr_RF,tnr_RF,fpr_RF,fnr_RF,tp_RF,fn_RF,tn_RF,fp_RF,error_DT,recall_DT,precision_DT,fscore_DT,gscore_DT,mcc_DT,auc_DT,aucec_DT,tpr_DT,tnr_DT,fpr_DT,fnr_DT,tp_DT,fn_DT,tn_DT,fp_DT,error_LR,recall_LR,precision_LR,fscore_LR,gscore_LR,mcc_LR,auc_LR,aucec_LR,tpr_LR,tnr_LR,fpr_LR,fnr_LR,tp_LR,fn_LR,tn_LR,fp_LR,error_NET,recall_NET,precision_NET,fscore_NET,gscore_NET,mcc_NET,auc_NET,aucec_NET,tpr_NET,tnr_NET,fpr_NET,fnr_NET,tp_NET,fn_NET,tn_NET,fp_NET,error_SVM,recall_SVM,precision_SVM,fscore_SVM,gscore_SVM,mcc_SVM,auc_SVM,aucec_SVM,tpr_SVM,tnr_SVM,fpr_SVM,fnr_SVM,tp_SVM,fn_SVM,tn_SVM,fp_SVM
poi-2.5.csv,385,2095,0.3246753246753247,0.6693548387096774,0.7942583732057417,0.7264770240700219,0.677639293003865,0.3416484260648368,0.7415234283023311,0.32709247288478044,0.6693548387096774,0.6861313868613139,0.31386861313868614,0.33064516129032256,166.0,82.0,94.0,43.0,0.5402597402597402,0.2540322580645161,0.7325581395348837,0.3772455089820359,0.38923664742703845,0.09902657959477378,0.6395396750647516,0.33552424372807693,0.2540322580645161,0.8321167883211679,0.1678832116788321,0.7459677419354839,63.0,185.0,114.0,23.0,0.44935064935064933,0.3951612903225806,0.8099173553719008,0.5311653116531165,0.5358530385150366,0.23439536777094463,0.487623616670591,0.3631811674072604,0.3951612903225806,0.8321167883211679,0.1678832116788321,0.6048387096774194,98.0,150.0,114.0,23.0,0.4909090909090909,0.29838709677419356,0.8314606741573034,0.4391691394658754,0.4469970787740754,0.2145224409324017,0.7648634330115376,0.28130828758337534,0.29838709677419356,0.8905109489051095,0.10948905109489052,0.7016129032258065,74.0,174.0,122.0,15.0,0.5532467532467532,0.17338709677419356,0.8431372549019608,0.2876254180602007,0.29284903518728717,0.16240483918001758,0.6658817989168825,0.3007939033225285,0.17338709677419356,0.9416058394160584,0.058394160583941604,0.8266129032258065,43.0,205.0,129.0,8.0,0.6441558441558441,0.0,0.0,0.0,0.0,0.0,0.5,0.7727163121847598,0.0,1.0,0.0,1.0,0.0,248.0,137.0,0.0
poi-3.0.csv,442,2414,0.26244343891402716,0.6868327402135231,0.8733031674208145,0.7689243027888445,0.7500511352014728,0.4936546146238056,0.8302535310890564,0.34665981047738237,0.6868327402135231,0.8260869565217391,0.17391304347826086,0.31316725978647686,193.0,88.0,133.0,28.0,0.4479638009049774,0.35231316725978645,0.8608695652173913,0.5,0.5064921318185026,0.2774284551068293,0.7318914259189673,0.37041743092291524,0.35231316725978645,0.9006211180124224,0.09937888198757763,0.6476868327402135,99.0,182.0,145.0,16.0,0.332579185520362,0.5587188612099644,0.8722222222222222,0.6811279826464207,0.6764811490125673,0.4073128799969474,0.7263654649543556,0.5419840743017624,0.5587188612099644,0.8571428571428571,0.14285714285714285,0.4412811387900356,157.0,124.0,138.0,23.0,0.19909502262443438,0.8291814946619217,0.8534798534798534,0.8411552346570397,0.7884610006432307,0.5750675899533855,0.8158528768152782,0.6373631991976406,0.8291814946619217,0.7515527950310559,0.2484472049689441,0.1708185053380783,233.0,48.0,121.0,40.0,0.5950226244343891,0.505338078291815,0.5338345864661654,0.5191956124314442,0.3159445563606843,-0.26035508545269664,0.3641387237240556,0.7441347262657608,0.505338078291815,0.22981366459627328,0.7701863354037267,0.49466192170818507,142.0,139.0,37.0,124.0,0.6357466063348416,0.0,0.0,0.0,0.0,0.0,0.5,0.7609214931930511,0.0,1.0,0.0,1.0,0.0,281.0,161.0,0.0
redaktor.csv,176,657,0.6022727272727273,0.8148148148148148,0.17886178861788618,0.29333333333333333,0.4617402710975076,0.10759351406428208,0.5367884663186676,0.30233418303593734,0.8148148148148148,0.3221476510067114,0.6778523489932886,0.18518518518518517,22.0,5.0,48.0,101.0,0.5,0.25925925925925924,0.09333333333333334,0.13725490196078433,0.3510835913312693,-0.14365040423569203,0.41933880188913747,0.24034462937971693,0.25925925925925924,0.5436241610738255,0.4563758389261745,0.7407407407407407,7.0,20.0,81.0,68.0,0.5511363636363636,0.2962962962962963,0.09302325581395349,0.1415929203539823,0.3653908009006111,-0.16379502215277744,0.46520009942828733,0.338436547208477,0.2962962962962963,0.47651006711409394,0.5234899328859061,0.7037037037037037,8.0,19.0,71.0,78.0,0.3977272727272727,0.7407407407407407,0.24096385542168675,0.36363636363636365,0.6488117691437193,0.22951707878857108,0.7450907283122048,0.556962563102913,0.7407407407407407,0.5771812080536913,0.4228187919463087,0.25925925925925924,20.0,7.0,86.0,63.0,0.2840909090909091,0.25925925925925924,0.1891891891891892,0.21875,0.3914473684210526,0.0512239001885445,0.5882426050211285,0.337175738491528,0.25925925925925924,0.7986577181208053,0.20134228187919462,0.7407407407407407,7.0,20.0,119.0,30.0,0.1534090909090909,0.0,0.0,0.0,0.0,0.0,0.5,0.7408950617283948,0.0,1.0,0.0,1.0,0.0,27.0,149.0,0.0
serapion.csv,45,361,0.24444444444444444,0.4444444444444444,0.4,0.4210526315789474,0.5797101449275363,0.2672612419124244,0.7067901234567902,0.40434713628430907,0.4444444444444444,0.8333333333333334,0.16666666666666666,0.5555555555555556,4.0,5.0,30.0,6.0,0.3111111111111111,0.1111111111111111,0.14285714285714285,0.125,0.19607843137254902,-0.06131393394849658,0.558641975308642,0.38061240679041725,0.1111111111111111,0.8333333333333334,0.16666666666666666,0.8888888888888888,1.0,8.0,30.0,6.0,0.35555555555555557,0.2222222222222222,0.18181818181818182,0.19999999999999998,0.34285714285714286,-0.02585438449975096,0.5030864197530864,0.467132053519488,0.2222222222222222,0.75,0.25,0.7777777777777778,2.0,7.0,27.0,9.0,0.26666666666666666,0.1111111111111111,0.2,0.14285714285714285,0.19753086419753085,0.0,0.5339506172839507,0.379480670580147,0.1111111111111111,0.8888888888888888,0.1111111111111111,0.8888888888888888,1.0,8.0,32.0,4.0,0.15555555555555556,0.2222222222222222,1.0,0.3636363636363636,0.3636363636363636,0.4313310928137537,0.7067901234567902,0.45831085726373705,0.2222222222222222,1.0,0.0,0.7777777777777778,2.0,7.0,36.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.610767359458459,0.0,1.0,0.0,1.0,0.0,9.0,36.0,0.0
skarbonka.csv,45,388,0.28888888888888886,0.8888888888888888,0.4,0.5517241379310346,0.761904761904762,0.4472135954999579,0.8302469135802469,0.44000118289824863,0.8888888888888888,0.6666666666666666,0.3333333333333333,0.1111111111111111,8.0,1.0,24.0,12.0,0.28888888888888886,0.4444444444444444,0.3333333333333333,0.380952380952381,0.5656565656565655,0.20100756305184242,0.7376543209876543,0.4345524578407672,0.4444444444444444,0.7777777777777778,0.2222222222222222,0.5555555555555556,4.0,5.0,28.0,8.0,0.3333333333333333,0.5555555555555556,0.3125,0.39999999999999997,0.6172839506172839,0.20890725544918334,0.654320987654321,0.5572190062176087,0.5555555555555556,0.6944444444444444,0.3055555555555556,0.4444444444444444,5.0,4.0,25.0,11.0,0.24444444444444444,0.1111111111111111,0.25,0.15384615384615383,0.1981981981981982,0.03904344047215152,0.7098765432098766,0.3968549692816112,0.1111111111111111,0.9166666666666666,0.08333333333333333,0.8888888888888888,1.0,8.0,33.0,3.0,0.2,0.0,0.0,0.0,0.0,0.0,0.7870370370370371,0.4553492876734609,0.0,1.0,0.0,1.0,0.0,9.0,36.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.7290793355069091,0.0,1.0,0.0,1.0,0.0,9.0,36.0,0.0
sklebagd.csv,20,192,0.25,0.75,0.8181818181818182,0.7826086956521738,0.75,0.4923659639173309,0.8333333333333334,0.4128480177740748,0.75,0.75,0.25,0.25,9.0,3.0,6.0,2.0,0.3,0.6666666666666666,0.8,0.7272727272727272,0.7058823529411765,0.408248290463863,0.7916666666666666,0.5283100742900784,0.6666666666666666,0.75,0.25,0.3333333333333333,8.0,4.0,6.0,2.0,0.6,0.08333333333333333,0.5,0.14285714285714285,0.15217391304347824,-0.06804138174397717,0.6770833333333334,0.668697493577727,0.08333333333333333,0.875,0.125,0.9166666666666666,1.0,11.0,7.0,1.0,0.3,0.6666666666666666,0.8,0.7272727272727272,0.7058823529411765,0.408248290463863,0.75,0.4800822745261404,0.6666666666666666,0.75,0.25,0.3333333333333333,8.0,4.0,6.0,2.0,0.5,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.46153846153846156,0.0890870806374748,0.7395833333333334,0.6158352426577796,0.3333333333333333,0.75,0.25,0.6666666666666666,4.0,8.0,6.0,2.0,0.6,0.0,0.0,0.0,0.0,0.0,0.5,0.6771158786363952,0.0,1.0,0.0,1.0,0.0,12.0,8.0,0.0
synapse-1.0.csv,157,1026,0.4394904458598726,0.8125,0.16455696202531644,0.27368421052631575,0.6429277942631058,0.20839659760253246,0.6861702127659575,0.5162119002985489,0.8125,0.5319148936170213,0.46808510638297873,0.1875,13.0,3.0,75.0,66.0,0.2229299363057325,0.375,0.1935483870967742,0.25531914893617014,0.5151739452257588,0.15024471062593478,0.6717641843971631,0.5238622162049574,0.375,0.8226950354609929,0.1773049645390071,0.625,6.0,10.0,116.0,25.0,0.20382165605095542,0.375,0.21428571428571427,0.2727272727272727,0.5192727272727272,0.1730547524528362,0.6788563829787234,0.5997730507533151,0.375,0.8439716312056738,0.15602836879432624,0.625,6.0,10.0,119.0,22.0,0.5987261146496815,0.875,0.1320754716981132,0.22950819672131148,0.4974619289340101,0.1437461258846579,0.6360815602836879,0.4125355828646808,0.875,0.3475177304964539,0.6524822695035462,0.125,14.0,2.0,49.0,92.0,0.14012738853503184,0.5,0.36363636363636365,0.4210526315789474,0.6430379746835443,0.34923732910104843,0.7770390070921985,0.5674837707422068,0.5,0.900709219858156,0.09929078014184398,0.5,8.0,8.0,127.0,14.0,0.10191082802547771,0.0,0.0,0.0,0.0,0.0,0.5,0.42520438450322845,0.0,1.0,0.0,1.0,0.0,16.0,141.0,0.0
synapse-1.1.csv,222,1369,0.33783783783783783,0.65,0.41935483870967744,0.5098039215686274,0.6582278481012658,0.2850356316810794,0.6734053497942387,0.39962610120876907,0.65,0.6666666666666666,0.3333333333333333,0.35,39.0,21.0,108.0,54.0,0.32432432432432434,0.15,0.3,0.2,0.25589836660617055,0.026461887337857846,0.5497427983539095,0.3810568452240244,0.15,0.8703703703703703,0.12962962962962962,0.85,9.0,51.0,141.0,21.0,0.32882882882882886,0.5,0.410958904109589,0.45112781954887216,0.595,0.22174158640287323,0.5659465020576132,0.457647392558272,0.5,0.7345679012345679,0.2654320987654321,0.5,30.0,30.0,119.0,43.0,0.25675675675675674,0.16666666666666666,0.5882352941176471,0.2597402597402597,0.2838827838827839,0.20618008881523664,0.6686728395061728,0.4194482530376814,0.16666666666666666,0.9567901234567902,0.043209876543209874,0.8333333333333334,10.0,50.0,155.0,7.0,0.26126126126126126,0.13333333333333333,0.5714285714285714,0.21621621621621623,0.23423423423423426,0.17593288763724918,0.675977366255144,0.39843782011882817,0.13333333333333333,0.9629629629629629,0.037037037037037035,0.8666666666666667,8.0,52.0,156.0,6.0,0.2702702702702703,0.0,0.0,0.0,0.0,0.0,0.5,0.6384635084235581,0.0,1.0,0.0,1.0,0.0,60.0,162.0,0.0
synapse-1.2.csv,256,1604,0.2890625,0.7209302325581395,0.5535714285714286,0.6262626262626263,0.713326941514861,0.40636907088331503,0.7655266757865937,0.43373114540317365,0.7209302325581395,0.7058823529411765,0.29411764705882354,0.27906976744186046,62.0,24.0,120.0,50.0,0.30859375,0.3023255813953488,0.5777777777777777,0.3969465648854962,0.4511088130529702,0.2364612283211067,0.671374829001368,0.45306933275374944,0.3023255813953488,0.888235294117647,0.11176470588235295,0.6976744186046512,26.0,60.0,151.0,19.0,0.3046875,0.22093023255813954,0.6333333333333333,0.3275862068965517,0.35743019403691434,0.22940747579608586,0.5856019151846785,0.48841338839382825,0.22093023255813954,0.9352941176470588,0.06470588235294118,0.7790697674418605,19.0,67.0,159.0,11.0,0.27734375,0.2441860465116279,0.7777777777777778,0.37168141592920356,0.38972501980310054,0.32121493012671165,0.7565663474692202,0.43253357965659683,0.2441860465116279,0.9647058823529412,0.03529411764705882,0.7558139534883721,21.0,65.0,164.0,6.0,0.2734375,0.2558139534883721,0.7857142857142857,0.38596491228070184,0.4043936337144138,0.3337143696431536,0.7640902872777018,0.42289850032601645,0.2558139534883721,0.9647058823529412,0.03529411764705882,0.7441860465116279,22.0,64.0,164.0,6.0,0.3359375,0.0,0.0,0.0,0.0,0.0,0.5,0.6254142577700507,0.0,1.0,0.0,1.0,0.0,86.0,170.0,0.0
systemdata.csv,65,480,0.3230769230769231,0.6666666666666666,0.25,0.36363636363636365,0.6725663716814159,0.2470793390142364,0.7896825396825397,0.4585842885823456,0.6666666666666666,0.6785714285714286,0.32142857142857145,0.3333333333333333,6.0,3.0,38.0,18.0,0.18461538461538463,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.48543689320388345,0.2261904761904762,0.8273809523809523,0.492721398297462,0.3333333333333333,0.8928571428571429,0.10714285714285714,0.6666666666666666,3.0,6.0,50.0,6.0,0.18461538461538463,0.5555555555555556,0.38461538461538464,0.4545454545454546,0.6741573033707865,0.3563483225498992,0.7599206349206349,0.5640754412854666,0.5555555555555556,0.8571428571428571,0.14285714285714285,0.4444444444444444,5.0,4.0,48.0,8.0,0.3384615384615385,0.8888888888888888,0.27586206896551724,0.42105263157894735,0.7339449541284404,0.3570542826367652,0.753968253968254,0.6572257122091982,0.8888888888888888,0.625,0.375,0.1111111111111111,8.0,1.0,35.0,21.0,0.15384615384615385,0.3333333333333333,0.42857142857142855,0.375,0.4905660377358491,0.2918069599925101,0.8214285714285714,0.4505537206139498,0.3333333333333333,0.9285714285714286,0.07142857142857142,0.6666666666666666,3.0,6.0,52.0,4.0,0.13846153846153847,0.0,0.0,0.0,0.0,0.0,0.5,0.6742726795184538,0.0,1.0,0.0,1.0,0.0,9.0,56.0,0.0
